			
ROI	Mean	STD	Sum	Min	Max	Pixel count	
ROI 3	2049.333	209.295	24592.000	1872.000	2651.000	12	
ROI 3	2079.083	231.599	24949.000	1901.000	2750.000	12	
ROI 3	2119.917	227.451	25439.000	1946.000	2781.000	12	
ROI 3	2150.417	254.010	25805.000	1938.000	2886.000	12	
ROI 3	2182.500	246.866	26190.000	1997.000	2905.000	12	
ROI 3	2205.167	250.764	26462.000	2007.000	2936.000	12	
ROI 3	2242.500	254.532	26910.000	2032.000	2980.000	12	
ROI 3	2307.167	250.695	27686.000	2106.000	3047.000	12	
ROI 3	2410.500	267.172	28926.000	2182.000	3172.000	12	
ROI 4	1747.000	317.331	24458.000	1285.000	2618.000	14	
ROI 4	1613.643	274.673	22591.000	1197.000	2345.000	14	
ROI 4	1498.286	296.868	20976.000	1088.000	2237.000	14	
ROI 4	1296.143	259.621	18146.000	940.000	1933.000	14	
ROI 4	1178.929	263.871	16505.000	759.000	1862.000	14	
ROI 4	1052.571	238.800	14736.000	707.000	1660.000	14	
ROI 4	951.214	221.874	13317.000	588.000	1442.000	14	
ROI 4	820.214	144.738	11483.000	633.000	1183.000	14	
ROI 4	864.214	157.910	12099.000	691.000	1300.000	14	
ROI 4	899.643	149.036	12595.000	679.000	1268.000	14	
ROI 4	939.286	159.168	13150.000	677.000	1360.000	14	
ROI 4	993.500	159.137	13909.000	735.000	1349.000	14	
ROI 4	1043.571	167.928	14610.000	771.000	1450.000	14	
ROI 4	1082.286	175.991	15152.000	797.000	1561.000	14	
ROI 4	1106.786	174.710	15495.000	877.000	1595.000	14	
ROI 4	1123.857	175.539	15734.000	851.000	1553.000	14	
ROI 4	1140.000	182.388	15960.000	888.000	1626.000	14	
ROI 4	1158.571	176.615	16220.000	904.000	1631.000	14	
ROI 4	1195.500	188.930	16737.000	920.000	1685.000	14	
ROI 4	1183.071	191.773	16563.000	952.000	1696.000	14	
ROI 4	1196.929	187.040	16757.000	955.000	1702.000	14	
ROI 4	1202.214	194.882	16831.000	874.000	1692.000	14	
ROI 4	1215.714	192.296	17020.000	907.000	1686.000	14	
ROI 4	1250.214	183.685	17503.000	975.000	1712.000	14	
ROI 4	1256.786	206.216	17595.000	965.000	1787.000	14	
ROI 4	1247.071	208.286	17459.000	986.000	1837.000	14	
ROI 4	1274.071	199.427	17837.000	1015.000	1817.000	14	
ROI 4	1285.500	198.496	17997.000	1010.000	1828.000	14	
ROI 4	1322.286	216.837	18512.000	1014.000	1952.000	14	
ROI 4	1334.857	210.202	18688.000	1071.000	1925.000	14	
ROI 4	1324.643	218.643	18545.000	1036.000	1941.000	14	
ROI 4	1338.071	217.224	18733.000	1049.000	1928.000	14	
ROI 4	1341.143	204.753	18776.000	1046.000	1893.000	14	
ROI 4	1353.429	217.449	18948.000	1018.000	1910.000	14	
ROI 4	1366.071	226.764	19125.000	996.000	1945.000	14	
ROI 4	1391.286	241.793	19478.000	1084.000	2076.000	14	
ROI 4	1403.714	216.167	19652.000	1112.000	1943.000	14	
ROI 4	1408.500	218.731	19719.000	1125.000	2029.000	14	
ROI 4	1428.786	221.126	20003.000	1144.000	2054.000	14	
ROI 4	1422.786	225.294	19919.000	1129.000	2050.000	14	
ROI 4	1447.857	200.350	20270.000	1154.000	1987.000	14	
ROI 4	1451.000	230.597	20314.000	1175.000	2114.000	14	
ROI 4	1471.286	243.271	20598.000	1144.000	2109.000	14	
ROI 4	1463.786	234.369	20493.000	1141.000	2089.000	14	
ROI 4	1509.786	217.804	21137.000	1193.000	2069.000	14	
ROI 4	1480.071	238.091	20721.000	1186.000	2158.000	14	
ROI 4	1500.929	235.842	21013.000	1153.000	2159.000	14	
ROI 4	1504.643	243.485	21065.000	1182.000	2160.000	14	
ROI 4	1521.214	237.098	21297.000	1224.000	2207.000	14	
ROI 4	1531.500	232.836	21441.000	1242.000	2183.000	14	
ROI 4	1546.571	252.607	21652.000	1182.000	2205.000	14	
ROI 4	1528.714	253.492	21402.000	1165.000	2245.000	14	
ROI 4	1557.929	232.289	21811.000	1232.000	2182.000	14	
ROI 4	1560.500	231.984	21847.000	1229.000	2196.000	14	
ROI 4	1562.786	247.118	21879.000	1211.000	2296.000	14	
ROI 4	1574.429	245.519	22042.000	1218.000	2229.000	14	
ROI 4	1593.071	259.634	22303.000	1207.000	2313.000	14	
ROI 4	1593.143	251.954	22304.000	1270.000	2294.000	14	
ROI 4	1596.786	244.279	22355.000	1233.000	2266.000	14	
ROI 4	1596.857	230.094	22356.000	1283.000	2235.000	14	
ROI 4	1602.857	269.740	22440.000	1194.000	2330.000	14	
ROI 4	1627.071	253.505	22779.000	1267.000	2315.000	14	
ROI 4	1624.643	243.566	22745.000	1285.000	2291.000	14	
ROI 4	1647.500	267.591	23065.000	1308.000	2417.000	14	
ROI 4	1647.286	258.152	23062.000	1283.000	2352.000	14	
ROI 4	1651.143	238.653	23116.000	1338.000	2288.000	14	
ROI 4	1645.000	266.925	23030.000	1293.000	2424.000	14	
ROI 4	1670.714	248.304	23390.000	1368.000	2371.000	14	
ROI 4	1669.429	252.653	23372.000	1335.000	2384.000	14	
ROI 4	1675.643	256.258	23459.000	1367.000	2395.000	14	
ROI 4	1687.500	252.811	23625.000	1341.000	2404.000	14	
ROI 4	1701.071	264.855	23815.000	1328.000	2426.000	14	
ROI 4	1713.143	254.296	23984.000	1311.000	2379.000	14	
ROI 4	1705.429	243.392	23876.000	1398.000	2373.000	14	
ROI 4	1695.214	252.972	23733.000	1324.000	2373.000	14	
ROI 4	1733.857	266.579	24274.000	1337.000	2461.000	14	
ROI 4	1763.571	273.604	24690.000	1373.000	2538.000	14	
ROI 4	1755.929	264.845	24583.000	1383.000	2515.000	14	
ROI 4	1773.857	270.998	24834.000	1389.000	2524.000	14	
ROI 4	1774.500	255.532	24843.000	1422.000	2480.000	14	
ROI 4	1782.714	272.353	24958.000	1424.000	2577.000	14	
ROI 4	1820.857	269.795	25492.000	1485.000	2578.000	14	
ROI 4	1848.786	291.211	25883.000	1483.000	2676.000	14	
ROI 4	1815.357	295.997	25415.000	1413.000	2612.000	14	
ROI 4	1853.000	281.951	25942.000	1435.000	2659.000	14	
ROI 4	1849.143	287.622	25888.000	1459.000	2673.000	14	
ROI 4	1851.071	276.601	25915.000	1518.000	2628.000	14	
ROI 4	1858.429	297.942	26018.000	1431.000	2706.000	14	
ROI 4	1886.286	278.190	26408.000	1491.000	2682.000	14	
ROI 4	1883.714	288.017	26372.000	1465.000	2684.000	14	
ROI 4	1886.000	283.827	26404.000	1531.000	2695.000	14	
ROI 4	1933.714	313.916	27072.000	1465.000	2808.000	14	
ROI 4	1952.429	274.356	27334.000	1599.000	2707.000	14	
ROI 4	1940.071	302.263	27161.000	1544.000	2789.000	14	
ROI 4	1961.000	303.902	27454.000	1556.000	2808.000	14	
ROI 4	1973.571	297.060	27630.000	1583.000	2796.000	14	
ROI 4	1991.357	295.509	27879.000	1593.000	2833.000	14	
ROI 4	2004.071	311.485	28057.000	1562.000	2859.000	14	
ROI 4	2009.786	297.644	28137.000	1588.000	2797.000	14	
ROI 4	2029.500	297.415	28413.000	1617.000	2879.000	14	
ROI 4	2074.929	328.665	29049.000	1616.000	2981.000	14	
ROI 4	2056.643	304.442	28793.000	1621.000	2907.000	14	
ROI 4	2072.714	320.561	29018.000	1627.000	2972.000	14	
ROI 4	2093.929	322.666	29315.000	1621.000	2962.000	14	
ROI 4	2132.571	340.059	29856.000	1653.000	3087.000	14	
ROI 5	1965.688	261.680	31451.000	1577.000	2641.000	16	
ROI 5	1816.875	255.194	29070.000	1454.000	2493.000	16	
ROI 5	1715.188	254.848	27443.000	1321.000	2382.000	16	
ROI 5	1570.375	235.195	25126.000	1266.000	2202.000	16	
ROI 5	1441.812	230.828	23069.000	1113.000	2075.000	16	
ROI 5	1344.812	216.616	21517.000	1027.000	1900.000	16	
ROI 5	1223.250	190.946	19572.000	946.000	1697.000	16	
ROI 5	931.750	129.328	14908.000	756.000	1282.000	16	
ROI 5	949.625	135.107	15194.000	740.000	1240.000	16	
